timestamp, rover_x, rover_y, heading, desired_heading, linear, angular, distance_to_target, distance_to_obstacle, obstacle_dx, obstacle_dy
2025-05-09 16:23:06, 5.00, 2.50, 0.00, 0.79, 0.00, 0.17, 23.20, 6.50, 0.00, 1.00
2025-05-09 16:23:07, 5.01, 2.50, 0.07, 0.79, 0.00, 0.17, 23.20, 6.50, 0.00, 1.00
2025-05-09 16:23:08, 5.01, 2.50, 0.07, 0.79, 0.00, 0.17, 23.20, 6.50, -0.00, 1.00
2025-05-09 16:23:09, 5.03, 2.50, 0.25, 0.79, 0.00, 0.17, 23.18, 6.50, -0.00, 1.00
2025-05-09 16:23:10, 5.04, 2.51, 0.42, 0.79, 0.00, 0.17, 23.17, 6.49, -0.01, 1.00
2025-05-09 16:23:11, 5.06, 2.52, 0.60, 0.79, 0.00, 0.17, 23.15, 6.49, -0.01, 1.00
2025-05-09 16:23:12, 5.07, 2.53, 0.77, 0.79, 0.50, 0.00, 23.14, 6.48, -0.01, 1.00
2025-05-09 16:23:13, 5.17, 2.65, 0.90, 0.79, 0.00, -0.12, 22.98, 6.47, -0.01, 1.00
2025-05-09 16:23:14, 5.36, 2.90, 0.86, 0.79, 0.00, -0.07, 22.66, 6.35, -0.02, 1.00
2025-05-09 16:23:15, 5.36, 2.90, 0.75, 0.79, 0.00, 0.04, 22.66, 6.11, -0.05, 1.00
2025-05-09 16:23:16, 5.36, 2.90, 0.73, 0.79, 0.00, 0.05, 22.66, 6.11, -0.05, 1.00
2025-05-09 16:23:17, 5.36, 2.90, 0.79, 0.79, 0.50, 0.00, 22.66, 6.11, -0.05, 1.00
2025-05-09 16:23:18, 5.61, 3.16, 0.81, 0.79, 0.00, -0.03, 22.31, 6.11, -0.05, 1.00
2025-05-09 16:23:19, 5.70, 3.26, 0.79, 0.79, 0.50, 0.00, 22.17, 5.87, -0.09, 1.00
2025-05-09 16:23:20, 5.99, 3.55, 0.78, 0.79, 0.50, 0.00, 21.77, 5.77, -0.10, 0.99
2025-05-09 16:23:21, 6.34, 3.90, 0.78, 0.79, 0.50, 0.00, 21.28, 5.53, -0.15, 0.99
2025-05-09 16:23:22, 6.34, 3.90, 0.78, 0.79, 0.50, 0.00, 21.28, 5.25, -0.22, 0.98
2025-05-09 16:23:23, 6.70, 4.25, 0.78, 0.79, 0.50, 0.00, 20.78, 4.99, -0.28, 0.96
2025-05-09 16:23:24, 7.05, 4.60, 0.78, 0.79, 0.50, 0.00, 20.29, 4.77, -0.36, 0.93
2025-05-09 16:23:25, 7.41, 4.96, 0.78, 0.79, 0.50, 0.00, 19.79, 4.59, -0.43, 0.90
2025-05-09 16:23:26, 7.76, 5.31, 0.78, 0.79, 0.50, 0.00, 19.30, 4.59, -0.43, 0.90
2025-05-09 16:23:27, 8.12, 5.66, 0.78, 0.79, 0.50, 0.00, 18.81, 4.45, -0.51, 0.86
2025-05-09 16:23:28, 8.47, 6.01, 0.78, 0.79, 0.50, 0.00, 18.32, 4.34, -0.58, 0.81
2025-05-09 16:23:29, 8.83, 6.36, 0.78, 0.79, 0.50, 0.00, 17.82, 4.29, -0.66, 0.75
2025-05-09 16:23:30, 9.18, 6.72, 0.78, 0.79, 0.50, 0.00, 17.33, 4.28, -0.73, 0.69
2025-05-09 16:23:31, 9.54, 7.07, 0.78, 0.79, 0.50, 0.00, 16.84, 4.32, -0.79, 0.62
2025-05-09 16:23:32, 9.89, 7.42, 0.78, 0.79, 0.50, 0.00, 16.35, 4.40, -0.84, 0.54
2025-05-09 16:23:33, 10.25, 7.77, 0.78, 0.79, 0.50, 0.00, 15.86, 4.53, -0.88, 0.47
2025-05-09 16:23:34, 10.60, 8.13, 0.78, 0.79, 0.50, 0.00, 15.37, 4.70, -0.92, 0.39
2025-05-09 16:23:35, 10.96, 8.48, 0.78, 0.79, 0.50, 0.00, 14.88, 4.91, -0.95, 0.32
2025-05-09 16:23:36, 10.96, 8.48, 0.78, 0.79, 0.50, 0.00, 14.88, 4.62, 0.19, 0.98
